,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
BCF,0.113255137,0.409216633,0.252086611,-0.043141257,0.242657325,0.30612362,-0.113898741,-0.026812227,0.118974568,0.632130779,0.451743812,0.193738183,0.049655581,0.192057048,-0.004559106,0.282692736,0.246426131,0.099306208,-0.109976472,0.349735957,0.286864416,0.296047544,0.137623172,0.552601145,0.648277258,0.080118859,0.092917645,0.072767516,0.285462643,0.54098147,0.175998026,0.396941563,0.399244547,0.402832049,0.464146237,-0.133697394,0.278055374,0.187143429,0.1111651,-0.042563039,0.241092616,0.174074062,0.464440836,0.100462572,0.150927217,0.137179251,0.1250831,0.321690487,0.220880625,0.338433634
"BART(f0, f1)",0.649052662,1.04028184,0.4343828,-0.114640226,1.218851726,0.489695351,0.273909018,0.65864534,0.46593714,1.047227975,1.084085324,0.712833169,0.525458175,0.838146888,0.182834936,1.01522822,0.331817457,-0.135364199,0.664531939,0.834604316,0.516339033,0.662498007,0.252425101,0.879753366,2.012103175,0.877680381,0.817536686,0.202480616,0.727558843,0.637304526,0.677662221,0.748606,0.614325828,0.983585086,1.094035652,-0.064803767,0.704510666,0.729664524,0.034392879,0.617619297,0.563794138,0.41529804,1.059069954,0.452806722,0.890063665,0.689357955,0.097319259,0.813648951,0.454807088,0.473421809
LM,2.027611571,1.391026527,1.746377647,2.218561967,2.007461782,2.181609157,1.788932924,1.948678458,2.186888336,2.86082205,2.498997218,1.441074758,3.116834036,1.853422718,1.900313232,2.400387268,0.991716864,1.576273747,1.708037191,2.04686025,1.10399089,2.197245883,0.771595749,3.110900987,2.659494004,1.796845543,1.505870648,0.590443328,2.768268014,1.959133073,1.693990466,1.178444028,2.04902666,1.782219974,1.924752035,1.323100473,1.673825275,2.377463529,1.272436288,1.196926832,1.801647066,1.649912318,2.432959374,1.584079784,1.897103339,2.10717654,1.71601887,2.570473794,1.932524633,1.777301924
