,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
BCF,0.099192701,0.284955713,0.19004501,0.028446272,0.348781959,0.196406394,0.138404862,-0.04959386,0.416014253,0.446230729,0.020284854,0.287769391,0.344794222,0.470235476,-0.008049022,-0.034240779,0.188158029,0.214817834,0.514566709,0.10301927,0.204848922,-0.23997553,0.330843611,0.093577464,0.152916101,0.389026615,0.196791812,0.180025898,0.065236291,0.071377234,-0.25075715,-0.09342521,0.121438704,0.214912522,0.506522875,0.12369991,0.046191974,0.050798322,0.180909071,0.412909016,0.137639911,0.243592764,-0.149539244,0.084881718,0.213607407,0.195661478,0.19567631,0.254624773,0.274630155,0.186846649
"BART(f0, f1)",0.470770464,0.274080344,0.532451074,0.544472129,0.689373609,0.584971071,0.412265817,0.336655687,0.612815206,0.747164266,0.4705607,0.610384279,0.769278333,0.788471457,0.362581335,0.364193083,0.409295614,0.47584413,0.854280068,0.339993142,1.388827739,-0.045589166,0.830908559,0.244898166,0.534468855,0.598679555,0.523737866,0.394097868,0.516475403,0.413604752,-0.040018598,0.193108729,0.494317711,0.5262625,0.70242711,0.338229304,0.185527032,0.297369528,0.315476036,0.671149263,0.370892456,0.475756062,0.09308546,0.388856136,0.477364623,0.460110859,0.441625899,0.511120478,0.573308958,0.753844028
LM,0.710812053,0.395908466,0.566620889,0.510781822,0.937035291,0.469462937,0.483124248,0.604045537,0.818143223,0.648550276,0.490585669,0.939851881,0.951749141,0.828320727,0.230223934,0.388604694,0.541766954,0.632842651,0.772898257,0.503714392,0.942877774,0.185281912,0.937393894,0.764783211,0.784629195,0.802865623,0.8732422,0.266855934,0.555042256,0.65096998,0.147243611,0.44686042,0.342033468,0.470555433,0.827409069,0.473424369,0.446217151,0.203216831,0.627041234,0.825935845,0.231267881,0.296393554,0.190467246,0.412545573,0.687462589,0.572947998,0.562954588,0.922929938,0.63862681,0.969485627
