,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
BCF,0.112878166,0.365633493,0.037539887,-0.059163029,0.09531985,0.15030804,-0.146734387,-0.073072257,0.130482221,0.481815417,-0.10027781,0.106562455,0.328055295,0.017172194,-0.239675597,-0.014533936,0.188133418,0.289462671,-0.017400336,0.545891465,0.084362182,0.21197642,0.030856392,0.149761708,0.23872666,0.142201081,-0.078763987,0.167008615,0.250652587,-0.068515246,0.014206665,0.096521163,-0.125915626,0.278970045,0.196672894,0.015936683,-0.040403361,0.131082614,0.079881217,0.206952434,-0.251815909,0.393405018,-0.078744662,0.063535155,0.276571679,0.111384163,0.270282622,0.577887821,-0.180930286,0.467620071
"BART(f0, f1)",0.639027671,0.997015201,0.383827361,-0.207754407,1.308880679,0.586796553,0.375049787,0.621606793,0.38092631,1.014838293,0.068497901,0.352723643,0.839184109,0.169429428,-0.14916159,0.386923019,0.249228538,0.765978538,0.345984201,0.819335029,0.477095118,1.010238385,0.157154142,0.496942631,0.632018559,0.293485935,0.553559613,0.233118335,-0.129259372,0.172321236,0.414724168,0.462634971,0.453744154,0.650489665,1.203578132,0.310819271,0.767884256,0.50402636,0.17354447,0.743747133,0.274854757,0.710547986,0.338200611,0.659588247,0.423529939,0.579172953,0.315437756,1.206121384,-0.04088834,1.226275721
LM,1.999713038,1.434169243,1.767404228,2.245513582,2.144880635,2.046112832,1.689616489,1.824373,2.092233547,2.948819311,1.193925026,1.458196259,2.887560504,1.766665032,0.550469211,1.614660833,0.784472932,2.423468447,1.65730264,1.592923549,1.833371738,1.73659731,2.079501382,2.400620894,3.38356339,1.887817398,1.212527754,1.819961552,2.08381675,1.367397818,1.361933392,2.056027869,2.913211302,1.013229791,2.958328282,2.246274472,2.131203632,2.397500372,2.113475976,1.925843317,2.183050131,1.331886181,2.730965688,1.798144492,1.531221301,1.952185327,1.594375417,2.094738244,1.808568226,2.93438883
